BCOR,"Blucora, Inc.",23.5,$1.06B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/bcor
FTXO,First Trust Nasdaq Bank ETF,26.71,$1.06B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ftxo
GHDX,"Genomic Health, Inc.",30.52,$1.06B,2005,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/ghdx
GTLS,"Chart Industries, Inc.",34.38,$1.06B,2006,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/gtls
LL,"Lumber Liquidators Holdings, Inc",37.21,$1.06B,2007,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/ll
ECPG,Encore Capital Group Inc,41.1,$1.06B,n/a,Finance,Finance Companies,http://www.nasdaq.com/symbol/ecpg
CEO,CNOOC Limited,112.85,$1.06B,2001,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ceo
EGOV,NIC Inc.,16.2,$1.07B,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/egov
HESM,Hess Midstream Partners LP,19.61,$1.07B,2017,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/hesm
KREF,KKR Real Estate Finance Trust Inc.,19.96,$1.07B,2017,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/kref
ARR,"ARMOUR Residential REIT, Inc.",25.93,$1.07B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/arr
BEAT,"BioTelemetry, Inc.",33.05,$1.07B,2008,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/beat
ASTE,"Astec Industries, Inc.",46.3,$1.07B,1986,Capital Goods,Construction/Ag Equipment/Trucks,http://www.nasdaq.com/symbol/aste
ISTB,iShares Core 1-5 Year USD Bond ETF,50.29,$1.07B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/istb
FTSM,First Trust Enhanced Short Maturity ETF,60.0397,$1.07B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ftsm
ALG,"Alamo Group, Inc.",92.11,$1.07B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/alg
VTWO,Vanguard Russell 2000 ETF,111.45,$1.07B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vtwo
USA,Liberty All-Star Equity Fund,5.71,$1.08B,1986,n/a,n/a,http://www.nasdaq.com/symbol/usa
DYN,Dynegy Inc.,8.24,$1.08B,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/dyn
KTOS,"Kratos Defense & Security Solutions, Inc.",12.39,$1.08B,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/ktos
GOGO,Gogo Inc.,12.51,$1.08B,2013,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/gogo
DPLO,"Diplomat Pharmacy, Inc.",15.91,$1.08B,2014,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/dplo
KBWB,PowerShares KBW Bank Portfolio,49.9,$1.08B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kbwb
VVI,Viad Corp,52.95,$1.08B,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/vvi
SSRM,SSR Mining Inc.,9.15,$1.09B,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/ssrm
CSTM,Constellium N.V.,10.35,$1.09B,2013,Basic Industries,Metal Fabrications,http://www.nasdaq.com/symbol/cstm
OMER,Omeros Corporation,24.9,$1.09B,2009,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/omer
VREX,Varex Imaging Corporation,28.9,$1.09B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/vrex
WGO,"Winnebago Industries, Inc.",34.4,$1.09B,n/a,Consumer Non-Durables,Homebuilding,http://www.nasdaq.com/symbol/wgo
CUB,Cubic Corporation,40.2,$1.09B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cub
ECOL,"US Ecology, Inc.",50.05,$1.09B,n/a,Public Utilities,Environmental Services,http://www.nasdaq.com/symbol/ecol
SAFT,"Safety Insurance Group, Inc.",71.35,$1.09B,2002,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/saft
SOXX,iShares PHLX SOX Semiconductor Sector Index Fund,147.92,$1.09B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/soxx
HTGC,"Hercules Capital, Inc.",13.37,$1.11B,2012,n/a,n/a,http://www.nasdaq.com/symbol/htgc
NMFC,New Mountain Finance Corporation,14.7,$1.11B,2011,n/a,n/a,http://www.nasdaq.com/symbol/nmfc
FSS,Federal Signal Corporation,18.55,$1.11B,n/a,Capital Goods,Auto Manufacturing,http://www.nasdaq.com/symbol/fss
TRS,TriMas Corporation,24.2,$1.11B,2007,Capital Goods,Industrial Specialties,http://www.nasdaq.com/symbol/trs
SPXC,SPX Corporation,26.01,$1.11B,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/spxc
QDEL,Quidel Corporation,33.11,$1.11B,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/qdel
UFCS,"United Fire Group, Inc",44.21,$1.11B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ufcs
IUSB,iShares Core Total USD Bond Market ETF,51.03,$1.11B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/iusb
HY,"Hyster-Yale Materials Handling, Inc.",67.69,$1.11B,n/a,Capital Goods,Construction/Ag Equipment/Trucks,http://www.nasdaq.com/symbol/hy
AWF,Alliance World Dollar Government Fund II,12.94,$1.12B,1993,n/a,n/a,http://www.nasdaq.com/symbol/awf
CAFD,8point3 Energy Partners LP,14.18,$1.12B,2015,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cafd
MYCC,"ClubCorp Holdings, Inc.",17.05,$1.12B,2013,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/mycc
PNK,"Pinnacle Entertainment, Inc.",19.58,$1.12B,n/a,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/pnk
BUSE,First Busey Corporation,29.34,$1.12B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/buse
THRM,Gentherm Inc,30.5,$1.12B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/thrm
BABY,Natus Medical Incorporated,33.75,$1.12B,2001,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/baby
TNC,Tennant Company,63.15,$1.12B,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/tnc
ATKR,Atkore International Group Inc.,17.76,$1.13B,2016,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/atkr
HOLI,"Hollysys Automation Technologies, Ltd.",18.76,$1.13B,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/holi
MB,"MINDBODY, Inc.",24.3,$1.13B,2015,Technology,EDP Services,http://www.nasdaq.com/symbol/mb
CAL,"Caleres, Inc.",26.29,$1.13B,n/a,Consumer Non-Durables,Shoe Manufacturing,http://www.nasdaq.com/symbol/cal
TXMD,"TherapeuticsMD, Inc.",5.57,$1.14B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/txmd
BNCL,"Beneficial Bancorp, Inc.",15,$1.14B,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/bncl
CGBD,"TCG BDC, Inc.",18.35,$1.14B,2017,n/a,n/a,http://www.nasdaq.com/symbol/cgbd
GBDC,"Golub Capital BDC, Inc.",19.23,$1.14B,2010,n/a,n/a,http://www.nasdaq.com/symbol/gbdc
FWP,Forward Pharma A/S,24.1,$1.14B,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/fwp
BCC,"Boise Cascade, L.L.C.",29.6,$1.14B,2013,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/bcc
EGL,"Engility Holdings, Inc.",30.87,$1.14B,2015,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/egl
LKFN,Lakeland Financial Corporation,45.31,$1.14B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/lkfn
ESPR,"Esperion Therapeutics, Inc.",50.54,$1.14B,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/espr
VONV,Vanguard Russell 1000 Value ETF,102.22,$1.14B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vonv
CNNX,Cone Midstream Partners LP,18.12,$1.15B,2014,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/cnnx
WMS,"Advanced Drainage Systems, Inc.",20.75,$1.15B,2014,Capital Goods,Containers/Packaging,http://www.nasdaq.com/symbol/wms
PKY,"Parkway, Inc.",23.05,$1.15B,2016,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/pky
ELF,"e.l.f. Beauty, Inc.",25.17,$1.15B,2016,Consumer Non-Durables,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/elf
EPAY,"Bottomline Technologies, Inc.",28.36,$1.15B,1999,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/epay
INDY,iShares S&P India Nifty 50 Index Fund,35.19,$1.15B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/indy
SJW,SJW Group,56.23,$1.15B,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/sjw
LHCG,LHC Group,62.95,$1.15B,2005,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/lhcg
SEAS,"SeaWorld Entertainment, Inc.",12.78,$1.16B,2013,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/seas
NRK,Nuveen New York AMT-Free Quality Municipal,13.295,$1.16B,2002,n/a,n/a,http://www.nasdaq.com/symbol/nrk
GES,"Guess?, Inc.",13.92,$1.16B,1996,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/ges
DDC,Dominion Diamond Corporation,14.12,$1.16B,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/ddc
WNC,Wabash National Corporation,19.64,$1.16B,1991,Capital Goods,Construction/Ag Equipment/Trucks,http://www.nasdaq.com/symbol/wnc
SEDG,"SolarEdge Technologies, Inc.",27.6,$1.16B,2015,Technology,Semiconductors,http://www.nasdaq.com/symbol/sedg
MYOK,"MyoKardia, Inc.",36.75,$1.16B,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/myok
JQC,Nuveen Credit Strategies Income Fund,8.61,$1.17B,2003,n/a,n/a,http://www.nasdaq.com/symbol/jqc
CHS,"Chico&#39;s FAS, Inc.",9,$1.17B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/chs
PMT,PennyMac Mortgage Investment Trust,17.5,$1.17B,2009,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/pmt
XT,iShares Exponential Technologies ETF,32.83,$1.17B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/xt
TMP,Tompkins Financial Corporation,77.39,$1.17B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/tmp
PLUS,ePlus inc.,82.85,$1.17B,1996,Technology,Retail: Computer Software & Peripheral Equipment,http://www.nasdaq.com/symbol/plus
APRN,"Blue Apron Holdings, Inc.",6.24,$1.18B,2017,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/aprn
FTR,Frontier Communications Corporation,15.08,$1.18B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/ftr
QIWI,QIWI plc,19.42,$1.18B,2013,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/qiwi
TRTX,"TPG RE Finance Trust, Inc.",19.85,$1.18B,2017,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/trtx
SSYS,"Stratasys, Ltd.",22.29,$1.18B,1994,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/ssys
GBT,"Global Blood Therapeutics, Inc.",27.05,$1.18B,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/gbt
SSTK,"Shutterstock, Inc.",34.14,$1.18B,2012,Technology,EDP Services,http://www.nasdaq.com/symbol/sstk
HUBG,"Hub Group, Inc.",34.5,$1.18B,1996,Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/hubg
SWM,"Schweitzer-Mauduit International, Inc.",38.31,$1.18B,n/a,Basic Industries,Paper,http://www.nasdaq.com/symbol/swm
ATRI,Atrion Corporation,645.05,$1.18B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atri
ACCO,Acco Brands Corporation,10.9,$1.19B,n/a,Consumer Durables,Publishing,http://www.nasdaq.com/symbol/acco
OEC,Orion Engineered Carbons S.A,20,$1.19B,2014,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/oec
OIS,"Oil States International, Inc.",23.25,$1.19B,2001,Energy,Metal Fabrications,http://www.nasdaq.com/symbol/ois
SHAK,"Shake Shack, Inc.",32.44,$1.19B,2015,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/shak
TRTN,Triton International Limited,35.7,$1.19B,2016,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/trtn
JRVR,"James River Group Holdings, Ltd.",40.24,$1.19B,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/jrvr
GPI,"Group 1 Automotive, Inc.",57.03,$1.19B,1997,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/gpi
EIGI,"Endurance International Group Holdings, Inc.",7.7,$1.1B,2013,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/eigi
MTW,"Manitowoc Company, Inc. (The)",7.8,$1.1B,n/a,Capital Goods,Construction/Ag Equipment/Trucks,http://www.nasdaq.com/symbol/mtw
PHK,Pimco High Income Fund,8.62,$1.1B,2003,n/a,n/a,http://www.nasdaq.com/symbol/phk
JPC,Nuveen Preferred Income Opportunites Fund,10.66,$1.1B,2003,n/a,n/a,http://www.nasdaq.com/symbol/jpc
RPT,Ramco-Gershenson Properties Trust,13.87,$1.1B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/rpt
BRKL,"Brookline Bancorp, Inc.",14.3,$1.1B,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/brkl
MNR,Monmouth Real Estate Investment Corporation,15.14,$1.1B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/mnr
SYKE,"Sykes Enterprises, Incorporated",25.92,$1.1B,1996,Technology,EDP Services,http://www.nasdaq.com/symbol/syke
KRA,Kraton Corporation,35.17,$1.1B,2009,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/kra
TLND,Talend S.A.,37.93,$1.1B,2016,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/tlnd
HRI,Herc Holdings Inc.,38.74,$1.1B,2016,n/a,n/a,http://www.nasdaq.com/symbol/hri
ABG,Asbury Automotive Group Inc,53,$1.1B,2002,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/abg
AMSF,"AMERISAFE, Inc.",57.05,$1.1B,2005,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/amsf
RMAX,"RE/MAX Holdings, Inc.",62.2,$1.1B,2013,Finance,Real Estate,http://www.nasdaq.com/symbol/rmax
AGRO,Adecoagro S.A.,10.02,$1.21B,2011,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/agro
KRNY,Kearny Financial,14.4,$1.21B,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/krny
OSUR,"OraSure Technologies, Inc.",20.94,$1.21B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/osur
FIVN,"Five9, Inc.",21.88,$1.21B,2014,Technology,EDP Services,http://www.nasdaq.com/symbol/fivn
